nazwa,grupa,sprzet,trudnosc,opis,bledy,jednostronne,pomiar
Uginanie na wyciągu dolnym linką W,biceps,Wyciąg dolny,1,Uchwyt w kształcie W na wysokości bioder. Uginaj ramiona utrzymując stały opór wyciągu przez cały ruch.,Bujanie tułowiem. Odrywanie łokci od boków.,nie,reps
Uginanie 21 (21s),biceps,Sztanga EZ,2,7 powtórzeń w dolnej połowie zakresu 7 w górnej połowie i 7 w pełnym zakresie bez przerwy. Buduje wytrzymałość i pompę.,Skracanie zakresu w pełnych powtórzeniach na końcu. Zbyt duży ciężar.,nie,reps
Uginanie na maszynie,biceps,Maszyna,1,Ramiona oparte na podpórce maszyny. Uginaj kontrolowanym ruchem bez odrywania łokci.,Odrywanie ramion od podpórki. Szarpanie ciężaru.,nie,reps
Uginanie z gumą oporową,biceps,Guma oporowa,1,Guma pod stopami trzymana w dłoniach. Uginaj ramiona pokonując rosnący opór gumy.,Zbyt luźna guma na starcie ruchu. Bujanie tułowiem.,nie,reps
Uginanie jednorącz na wyciągu,biceps,Wyciąg dolny,1,Jedna ręka ciągnie linkę druga stabilizuje się na maszynie. Pełna kontrola na całej długości ruchu.,Rotacja tułowia podczas uginania. Zbyt duży ciężar.,tak,reps
Drag curl (uginanie z tarciem o tułów),biceps,Sztanga,2,Sztanga ślizga się wzdłuż tułowia w górę zamiast po łuku przed ciałem. Łokcie cofają się do tyłu.,Wykonywanie ruchu jak w klasycznym uginaniu po łuku. Zbyt duży ciężar.,nie,reps
Uginanie liną zza siebie (Bayesian curl),biceps,Wyciąg dolny/lina,2,Stań tyłem do nisko zaczepionego wyciągu ramię odchylone do tyłu. Uginaj z rozciągniętej pozycji bicepsa.,Zbyt duży ciężar ograniczający zakres z tyłu. Bujanie ramieniem.,tak,reps
Uginanie z kettlebell,biceps,Kettlebell,1,Chwyt za róg rączki kettla. Uginaj ramiona kontrolowanym tempem jak przy klasycznym uginaniu.,Bujanie tułowiem. Niepełny zakres ruchu.,nie,reps
Uginanie bicepsa na TRX,biceps,TRX,2,Pochylony do tyłu z uchwytami TRX. Podciągaj tułów uginając ramiona przy stałym napięciu bicepsa.,Zbyt mały kąt pochylenia ułatwiający ruch. Bujanie ciałem.,nie,reps
Prostowanie ramion chwytem odwrotnym (reverse-grip pushdown),triceps,Wyciąg górny,2,Chwyt odwrócony dłońmi do góry. Prostuj przedramiona w dół akcentując długą głowę tricepsa.,Odrywanie łokci od tułowia. Zbyt duży ciężar.,nie,reps
Wyciskanie francuskie z hantlami (oburącz),triceps,Hantle,2,Leżenie na ławce jedna hantla trzymana oburącz nad klatką. Uginaj łokcie opuszczając hantlę za głowę.,Rozjeżdżanie się łokci na boki. Zbyt szybkie opuszczanie.,nie,reps
JM Press,triceps,Sztanga,3,Hybryda wyciskania wąskim chwytem i francuskiego. Sztanga opada w kierunku szyi z łokciami blisko ciała.,Zbyt szerokie odchylenie łokci. Utrata kontroli przy dużym ciężarze.,nie,reps
Kickback na wyciągu,triceps,Wyciąg dolny,1,Tułów pochylony ramię równolegle do podłogi. Prostuj przedramię w tył przy linece wyciągu.,Bujanie ramieniem. Zbyt duży ciężar skracający zakres.,tak,reps
Triceps kickback z gumą,triceps,Guma oporowa,1,Guma zaczepiona z tyłu. Prostuj ramię w tył pokonując opór gumy z łokciem przy tułowiu.,Odrywanie łokcia od tułowia. Zbyt szybkie tempo.,tak,reps
Prostowanie ramion znad głowy oburącz z liną,triceps,Wyciąg górny/lina,2,Tyłem do wyciągu lina trzymana oburącz nad głową. Prostuj ramiona do przodu i w dół.,Wyginanie pleców podczas prostowania. Zbyt duży ciężar.,nie,reps
Wyciskanie wąskim chwytem w suwnicy Smitha,triceps,Suwnica Smitha,2,Chwyt na szerokość barków. Stały tor suwnicy ułatwia utrzymanie łokci blisko ciała.,Zbyt szeroki chwyt przenoszący pracę na klatkę. Odbijanie od klatki.,nie,reps
Pompki na poręczach z obciążeniem,triceps,Pas obciążeniowy/poręcze,3,Dodatkowe obciążenie na pasie biodrowym. Tułów pionowo dla akcentu na triceps.,Pochylanie tułowia do przodu przenoszące pracę na klatkę. Zbyt duże obciążenie na start.,nie,reps
Prostowanie ramion jednorącz na wyciągu,triceps,Wyciąg górny,1,Jedna ręka prostuje linkę w dół z łokciem przy tułowiu. Pełna kontrola i izolacja tricepsa.,Odrywanie łokcia od boku. Rotacja tułowia.,tak,reps
Zwijanie nadgarstków z hantlami,przedramiona,Hantle,1,Przedramiona oparte na udach dłonie skierowane w górę. Zwijaj nadgarstki unosząc hantle.,Zbyt duży ciężar ograniczający zakres. Odrywanie przedramion od ud.,nie,reps
Chwyt na grubym uchwycie (fat grip hold),przedramiona,Sztanga/nakładki fat grip,2,Sztanga lub hantle z grubszym uchwytem trzymane statycznie jak najdłużej. Buduje siłę chwytu.,Zbyt krótki czas utrzymania bez progresji. Garbienie się.,nie,seconds
Farmer's walk jednorącz,przedramiona,Hantla/kettlebell,2,Ciężar trzymany w jednej ręce idź prosto utrzymując tułów bez przechylania na bok.,Przechylanie tułowia w stronę obciążenia. Zbyt krótki dystans.,tak,reps
Zwijanie nadgarstków na wyciągu,przedramiona,Wyciąg dolny,1,Przedramiona oparte na udach linka od dołu. Zwijaj nadgarstki kontrolowanym ruchem.,Zbyt duży ciężar. Odrywanie przedramion.,nie,reps
Zwis na ręcznikach,przedramiona,Drążek/ręczniki,2,Ręczniki przewieszone przez drążek chwytane zamiast samego drążka. Zwieś się utrzymując chwyt jak najdłużej.,Zbyt luźny chwyt na starcie. Kołysanie ciałem.,nie,seconds
