nazwa,grupa,sprzet,trudnosc,opis,bledy,jednostronne,pomiar
Deska boczna (side plank),core_brzuch,Brak,2,Podpór na jednym przedramieniu ciało w linii prostej bokiem do podłogi. Utrzymaj napięcie skośnych brzucha.,Opadanie bioder w dół. Skręcanie tułowia do przodu lub tyłu.,tak,seconds
Unoszenie nóg leżąc (lying leg raise),core_brzuch,Brak,2,Leżenie tyłem ręce wzdłuż ciała. Unoś proste nogi do pionu i opuszczaj kontrolowanie nie dotykając podłogi.,Odrywanie lędźwi od podłogi. Zginanie kolan zamiast prostych nóg.,nie,reps
V-ups (składanie scyzoryk),core_brzuch,Brak,3,Leżenie tyłem ręce nad głową. Jednoczesne unoszenie prostych nóg i tułowia tworząc kształt litery V.,Zginanie kolan ułatwiające ruch. Bujanie się dla rozpędu.,nie,reps
Woodchopper na wyciągu,core_brzuch,Wyciąg górny,2,Linka od góry po przekątnej. Obracaj tułów pociągając linkę w dół do przeciwnego biodra angażując skośne.,Ruch samymi rękami bez rotacji tułowia. Zbyt duży ciężar.,tak,reps
Spięcia z obciążeniem (weighted sit-up),core_brzuch,Talerz,2,Talerz trzymany na klatce podczas pełnego spięcia brzucha z leżenia do siadu.,Ciągnięcie się rękami zamiast pracą brzucha. Zbyt duży ciężar ograniczający zakres.,nie,reps
Reverse crunch,core_brzuch,Brak,1,Leżenie tyłem nogi ugięte nad biodrami. Unoś miednicę odrywając dolne plecy od podłogi.,Bujanie nogami zamiast pracy dolnego brzucha. Zbyt szybkie tempo.,nie,reps
Stir the pot (na piłce szwajcarskiej),core_brzuch,Piłka szwajcarska,3,Podpór na przedramionach na piłce. Wykonuj małe okręgi biodrami utrzymując stabilny tułów.,Zbyt duże okręgi tracące stabilizację. Opadanie bioder.,nie,reps
Dragon flag,core_brzuch,Ławka,3,Leżenie na ławce trzymając się za głową. Unieś całe ciało proste jako jedna linia opuszczając powoli.,Zginanie w biodrach zamiast utrzymania linii ciała. Zbyt szybkie opadanie.,nie,reps
Copenhagen plank (deska adduktorowa),core_brzuch,Ławka,3,Bok ciała podparty na przedramieniu górna noga oparta na ławce dolna unosi się w powietrzu. Angażuje przywodziciele i core.,Opadanie bioder. Zbyt wysoka ławka utrudniająca utrzymanie pozycji.,tak,seconds
Rotacje z landmine (landmine 360),core_brzuch,Sztanga w landmine,2,Koniec sztangi trzymany oburącz. Obracaj ciężar wokół ciała w pełnym okręgu utrzymując napięty core.,Zbyt szybkie tempo tracące kontrolę toru. Prostowanie nóg podczas rotacji.,nie,reps
Deska z dotykiem ramienia (plank shoulder taps),core_brzuch,Brak,2,Podpór wysoki na wyprostowanych rękach. Naprzemiennie dotykaj dłonią przeciwnego ramienia bez kołysania bioder.,Kołysanie bioder na boki. Zbyt szybkie tempo.,nie,reps
Unoszenie kolan w zwisie (hanging knee raise),core_brzuch,Drążek,2,Zwis na drążku. Unoś ugięte kolana do klatki kontrolowanym ruchem bez bujania.,Bujanie ciałem dla rozpędu. Niepełny zakres unoszenia kolan.,nie,reps
Rowerek (bicycle crunch),core_brzuch,Brak,1,Leżenie tyłem dłonie za głową. Naprzemiennie dotykaj łokciem przeciwnego kolana w ruchu rowerowym.,Ciągnięcie za głowę rękami. Zbyt szybkie tempo bez napięcia skośnych.,nie,reps
L-sit,core_brzuch,Poręcze/podłoga,3,Podpór na rękach nogi wyprostowane uniesione równolegle do podłogi tworząc literę L.,Zginanie kolan zamiast prostych nóg. Unoszenie barków do uszu.,nie,seconds
Wspięcia na palcach z hantlami oburącz,lydki,Hantle,1,Hantle trzymane wzdłuż ciała. Wspinaj się na palce z pełnym zakresem i kontrolowanym opuszczaniem.,Zbyt szybkie odbijanie. Niepełny zakres w dolnej fazie.,nie,reps
Wspięcia na jednej nodze z hantlą,lydki,Hantla,2,Jedna ręka trzyma hantlę druga stabilizuje na poręczy. Wspięcie na palcach jednej nogi z pełnym zakresem.,Odbijanie się zamiast kontrolowanego ruchu. Ugięcie kolana nogi roboczej.,tak,reps
Wspięcia na stopniu (bodyweight),lydki,Stopień/podest,1,Palce na krawędzi stopnia pięty w powietrzu. Wspinaj się i opuszczaj poniżej poziomu stopnia dla pełnego zakresu.,Zbyt szybkie tempo. Ograniczony zakres bez zejścia poniżej stopnia.,nie,reps
Wspięcia w suwnicy Smitha,lydki,Suwnica Smitha,2,Sztanga na plecach jak w przysiadzie palce na podwyższeniu. Wspinaj się na palce pełnym zakresem.,Zbyt duży ciężar ograniczający zakres. Szarpanie na starcie.,nie,reps
Wspięcia izometryczne (calf raise hold),lydki,Brak,1,Wspięcie na maksymalną wysokość i utrzymanie pozycji bez opuszczania pięt.,Opadanie pięt podczas utrzymania. Zbyt krótki czas bez progresji.,nie,seconds
Wspięcia z gumą oporową,lydki,Guma oporowa,1,Guma owinięta wokół stopy trzymana rękami. Wspinaj się na palce pokonując opór gumy.,Zbyt luźna guma bez realnego oporu. Zbyt szybkie tempo.,nie,reps
