nazwa,grupa,sprzet,trudnosc,opis,bledy,jednostronne,pomiar
Przysiad ze sztangą (low bar),nogi,Stojak/sztanga,3,Sztanga niżej na plecach niż w high bar. Większe pochylenie tułowia i zaangażowanie pośladków/dwugłowych. Zejdź do pełnego zakresu z prostymi plecami.,Zbyt pionowy tułów (→ high bar zamiast low bar). Odrywanie pięt.,nie,reps
Przysiad z gumą oporową (banded squat),nogi,Guma oporowa/stojak,2,Guma zaczepiona nisko z tyłu. Wykonuj przysiad pokonując dodatkowy opór na górze ruchu. Buduje moc wyjścia z dołu.,Zbyt lekka guma bez realnego oporu na górze. Chwiejność przy napięciu gumy.,nie,reps
Przysiad pistoletowy (pistol squat),nogi,Brak,3,Stań na jednej nodze druga wyprostowana przed sobą. Zejdź do pełnego przysiadu zachowując równowagę i wróć.,Utrata balansu. Odrywanie pięty nogi podporowej.,tak,reps
Wykrok w bok (lateral lunge),nogi,Hantle,2,Szeroki krok w bok zginając kolano robocze druga noga prosta. Biodra cofnięte jak w przysiadzie jednonóż.,Pochylanie tułowia do przodu. Kolano robocze zapada się do środka.,tak,reps
Wykrok stacjonarny (stationary split squat),nogi,Hantle,2,Nogi w rozkroku przód-tył jak w wykroku ale bez ruchu do przodu. Opuszczaj tylne kolano pionowo w dół.,Zbyt krótki rozkrok. Przenoszenie ciężaru na palce przedniej stopy.,tak,reps
Prostowanie nogi na maszynie (leg extension),nogi,Maszyna,1,Siedząc oprzyj plecy o oparcie. Prostuj kolana unosząc wałek nie odrywając ud od siedziska.,Szarpanie ciężaru. Przeprost w kolanie na górze ruchu.,nie,reps
Uginanie nóg leżąc (lying leg curl),nogi,Maszyna,1,Leżenie przodem biodra dociśnięte do ławki. Uginaj kolana przyciągając wałek do pośladków.,Unoszenie bioder z ławki. Zbyt szybkie opuszczanie.,nie,reps
Uginanie nóg siedząc (seated leg curl),nogi,Maszyna,1,Siedząc nogi na wałku przed sobą. Uginaj kolana pod siedzisko kontrolowanym ruchem.,Odrywanie pleców od oparcia. Szarpanie na starcie ruchu.,nie,reps
Przysiad Zercher,nogi,Sztanga,3,Sztanga trzymana w zgięciach łokci przed klatką. Zejdź do przysiadu z pionowym tułowiem.,Zbyt duży ciężar obciążający przedramiona. Garbienie się.,nie,reps
Hip thrust jednonóż,nogi,Ławka,2,Plecy oparte o ławkę jedna stopa na podłodze druga uniesiona. Wypychaj biodra w górę jedną nogą.,Rotacja miednicy w trakcie ruchu. Zbyt mały zakres.,tak,reps
