nazwa,grupa,sprzet,trudnosc,opis,bledy,jednostronne,pomiar
Wyciskanie sztangi na ławce skośnej ujemnej (decline),klatka_piersiowa,Ławka skośna ujemna/sztanga,2,Ławka nachylona głową w dół. Sztanga opada do dolnej części klatki angażując mocniej dolny akton.,Zbyt duży kąt ujemny. Odbijanie od klatki.,nie,reps
Wyciskanie hantli na ławce skośnej dodatniej,klatka_piersiowa,Ławka skośna/hantle,2,Kąt 30-45 stopni. Hantle opadają do górnej części klatki z pełnym zakresem ruchu.,Zbyt stromy kąt przenoszący pracę na barki. Zbyt szybkie tempo.,nie,reps
Rozpiętki na wyciągu górnym,klatka_piersiowa,Wyciąg górny,1,Linki od góry ściągane łukiem w dół i do środka przed klatką. Akcent na dolną część piersiowego.,Zginanie łokci jak przy wyciskaniu. Zbyt duży ciężar.,nie,reps
Rozpiętki na wyciągu dolnym w górę,klatka_piersiowa,Wyciąg dolny,1,Linki od dołu ściągane łukiem w górę i do środka. Akcent na górną część piersiowego.,Odchylanie tułowia do tyłu. Zbyt szybkie tempo.,nie,reps
Rozpiętki na maszynie (pec deck),klatka_piersiowa,Maszyna pec-deck,1,Siedząc ramiona na poduszkach. Ściągaj ramiona przed klatką kontrolowanym ruchem.,Odrywanie pleców od oparcia. Zbyt duży zakres z przeprostem barków.,nie,reps
Wyciskanie w suwnicy Smitha,klatka_piersiowa,Suwnica Smitha,1,Sztanga prowadzona torem suwnicy. Stały tor ułatwia kontrolę techniki przy większych ciężarach.,Ustawienie ławki niezgodne z torem suwnicy. Odbijanie od klatki.,nie,reps
Wyciskanie od podłogi (floor press),klatka_piersiowa,Hantle/sztanga,2,Leżenie na podłodze łokcie dotykają jej na dole ograniczając zakres. Chroni bark przy kontuzjach.,Odrywanie bioder od podłogi. Zbyt duży ciężar przy ograniczonym zakresie.,nie,reps
Svend press (ściskanie talerzy),klatka_piersiowa,Talerze,1,Dwa talerze ściśnięte dłońmi przed klatką. Wypychaj przed siebie utrzymując stałe ściskanie.,Rozluźnienie ścisku talerzy. Zbyt ciężkie talerze ograniczające zakres.,nie,reps
Pompki z gumą oporową,klatka_piersiowa,Guma oporowa,2,Guma prowadzona przez plecy i trzymana w dłoniach. Wykonuj pompki z dodatkowym oporem na górze ruchu.,Zbyt luźna guma. Opadanie bioder.,nie,reps
Wyciskanie jednorącz na wyciągu,klatka_piersiowa,Wyciąg,2,Stań bokiem do wyciągu. Wypychaj linkę jedną ręką przed siebie stabilizując tułów.,Rotacja tułowia podczas wypychania. Zbyt duży ciężar.,tak,reps
Wyciskanie w landmine (chest press),klatka_piersiowa,Sztanga w landmine,2,Koniec sztangi w landmine trzymany oburącz przy klatce. Wypychaj po łuku do przodu i w górę.,Zbyt duże pochylenie tułowia do przodu. Odbijanie ciężaru.,nie,reps
Dipy na maszynie asystującej,klatka_piersiowa,Maszyna asystująca,1,Kolana lub stopy na podpórce równoważącej masę ciała. Opuszczaj się z pochyleniem do przodu dla akcentu na klatkę.,Zbyt duża asysta. Pionowa pozycja tułowia przenosząca pracę na triceps.,nie,reps
